relationshipType,unique_value_count,unique_values
hasFabricTreatment,14,"['coated', 'plain weave', 'embroidery', 'no fabric treatment is specified', 'solid', 'softened', 'textured', 'no treatment', 'stretchy', 'untreated', 'no finishing or techniques', 'printed', 'embossed', 'brushed']"
hasPocketType,11,"['pockets on sides', 'external pocket', 'inside pocket', 'side pockets', 'multiple pockets', 'no-pocket', 'external side pocket', 'no pocket', 'front pockets', 'zippered pockets', 'front pocket']"
hasMaterialType,10,"['synthetic', 'polyester', 'fabric', 'cotton', 'leather', 'synthetic material', 'canvas', 'polyester fabric', 'synthetic fabric', 'faux leather']"
hasNeckline,9,"['round neckline', 'u-neck', 'straight', 'round neck', 'round-neck', 'round', 'no neckline', 'v-shaped', 'v-neck']"
hasPattern,7,"['floral', 'solid color', 'no pattern type is specified', 'striped', 'plaid', 'abstract pattern', 'plain weave']"
hasSilhouette,6,"['straight', 'rectangular', 'a-line', 'bag-shaped', 'straight or fitted silhouette', 'bag']"
hasSleeveType,5,"['short', 'sleeveless', 'long', 'short-sleeve', 'long-sleeve']"
hasLength,5,"['long', 'short', 'medium', 'medium length', 'knee-length']"
hasWaistline,4,"['natural', 'high-waisted', 'natural-waist', 'no waist']"
hasAnimalPattern,4,"['rabbit', 'no animal pattern is specified', 'elephant', 'no-animal']"
hasLeatherType,4,"['suede', 'no leather type is specified', 'cowhide', 'no leather']"
hasOpeningType,3,"['zipper', 'zipper closure', 'zipper opening']"
belongsToCategory,2,"['upperbody', 'bag']"
depicts,2,"['bag', 'backpack']"
hasLapelType,1,['no-lapel']
hasNickname,1,['handbag']
