relationshipType,unique_value_count,unique_values
hasPattern,10,"['graphic print', 'textured', 'solid color', 'text pattern', 'textured print', 'geometric', 'striped', 'printed', 'graphic pattern', 'stripe pattern']"
hasOpeningType,10,"['round neck', 'crew neck', 'round neckline', 'round neck opening', 'round opening', 'full button closure', 'round', 'button-up opening', 'crew neck opening', 'round-neck']"
hasLength,8,"['regular length', 'short-sleeve', 'short', 'short-length', 'short-sleeved', 'regular', 'above the knee', 'short sleeve']"
hasWaistline,6,"['straight', 'fitted', 'no waist', 'natural-waist', 'natural', 'high-waisted']"
hasNickname,6,"['blue t-shirt', 'tan shirt', 'man utd shirt', 'graphic tee', 'billy idol tour t-shirt', 't-shirt']"
hasNeckline,5,"['crew neck', 'round neckline', 'round neck', 'round', 'crew-neck']"
hasSilhouette,5,"['crew neck', 'regular fit', 'straight', 'crew-neck', 'slim-fit']"
hasFabricTreatment,5,"['dyed', 'plain weave', 'unbleached', 'stretch', 'non-treated']"
hasCollarType,4,"['crew-neck', 'round', 'round collar', 'round neck']"
depicts,2,"['t-shirt', 'shirt']"
hasLapelType,2,"['lapel-less', 'non-existent']"
hasMaterialType,1,['cotton']
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
hasLeatherType,1,['no leather']
hasPocketType,1,['no pocket']
hasAnimalPattern,1,['tiger']
