relationshipType,unique_value_count,unique_values
hasFabricTreatment,10,"['plain weave', 'textured', 'brushed', 'suede', 'solid', 'smooth', 'embossed', 'non-treated', 'water resistant', 'no special treatment']"
hasSilhouette,9,"['a-line', 'shoulder bag', 'rectangular', 'trapeze', 'regular', 'straight', 'satchel', 'horizontal', 'bag']"
hasPocketType,8,"['side', 'side pockets', 'no pocket', 'external', 'zipper', 'interior pockets', 'exterior pocket', 'side pocket']"
hasMaterialType,7,"['leather', 'nylon', 'synthetic', 'cotton', 'fabric', 'faux leather', 'polyester']"
hasLength,7,"['medium', 'regular', 'short', 'long', 'shoulder bag', 'medium-length', 'medium length']"
hasPattern,7,"['animal', 'polka-dot', 'floral', 'solid color', 'plaid', 'striped', 'solid color pattern']"
hasSleeveType,5,"['sleeveless', 'short', 'short-sleeve', 'long', 'long-sleeve']"
hasNeckline,5,"['round', 'round neck', 'v-shaped', 'round neckline', 'v-neck']"
hasWaistline,5,"['natural', 'high-waisted', 'high', 'natural-waist', 'no waist']"
hasOpeningType,4,"['zipper', 'slit', 'zipper closure', 'zipper opening']"
hasLeatherType,4,"['full-grain leather', 'smooth', 'no leather', 'suede']"
depicts,2,"['bag', 'vest']"
hasAnimalPattern,2,"['wolf', 'animal pattern']"
belongsToCategory,1,['upperbody']
hasNickname,1,['purse']
