relationshipType,unique_value_count,unique_values
hasFabricTreatment,17,"['lightweight', 'softened', 'washed', 'stretchy', 'plain weave', 'unfinished', 'smooth', 'plain-weave', 'no special treatment', 'non-textured', 'no-treatment', 'unfinished-hems', 'woven', 'stretchy fabric', 'unfinished seams', 'brushed cotton', 'wrinkle-resistant']"
hasLength,11,"['full-length', 'ankle-length', 'long', 'capri-length', 'capri', 'short', 'knee-length', 'full length', 'capri length', 'regular-length', 'full']"
hasPocketType,9,"['side pockets', 'side-pockets', 'no-pockets', 'side-pocket', 'side pocket', 'normal', 'slant pockets', 'front pocket', 'slant']"
hasNeckline,9,"['straight', 'no-neckline', 'round', 'crew neck', 'round-neck', 'round neckline', 'no neckline', 'crew-neck', 'non-existent']"
hasOpeningType,8,"['zipper', 'open-front', 'button front', 'zipper closure', 'snap fastener', 'zip-fly', 'zip closure', 'zipper-opening']"
hasSleeveType,7,"['straight', 'long', 'long-sleeves', 'sleeveless', 'short-sleeve', 'short-sleeves', 'long-sleeve']"
hasPattern,6,"['solid-colored', 'striped', 'floral', 'solid color', 'plaid', 'solid-color']"
hasWaistline,4,"['high-waisted', 'high', 'natural', 'high-rise']"
depicts,3,"['pants', 'shirt', 'bag']"
hasLeatherType,3,"['no-leather', 'no leather', 'not-applicable']"
hasAnimalPattern,3,"['no-animal-pattern', 'not-applicable', 'no-animal']"
hasMaterialType,2,"['stretchy', 'cotton']"
belongsToCategory,2,"['lowerbody', 'upperbody']"
hasSilhouette,1,['straight']
hasLapelType,1,['no-lapel']
hasNickname,1,['blue jeans']
