relationshipType,unique_value_count,unique_values
hasFabricTreatment,14,"['suede', 'perforated', 'brushed', 'texturized', 'breathable mesh panels', 'smooth finish', 'smooth', 'breathable mesh', 'waterproof', 'suede and perforated', 'breathable', 'no treatment', 'nubuck', 'embroidered']"
hasSleeveType,10,"['slip-on', 'long-sleeve', 'sleeveless', 'short', 'closed', 'short-sleeve', 'short sleeveless', 'no-sleeves', 'long', 'closed-toe']"
hasMaterialType,7,"['synthetic', 'leather', 'suede', 'fabric', 'synthetic material', 'rubber', 'canvas']"
hasSilhouette,6,"['round', 'athletic', 'low-top', 'sporty', 'slip-on', 'trimmable']"
hasOpeningType,4,"['lace-up', 'slip-on', 'closed-toe', 'lace-up opening']"
hasLength,4,"['ankle-high', 'low-top', 'ankle-length', 'short']"
hasNeckline,4,"['round', 'round neck', 'round-neck', 'open neckline']"
hasPattern,4,"['plaid', 'striped', 'solid color', 'solid-colored']"
belongsToCategory,3,"['lowerbody', 'footwear', 'upperbody']"
hasLeatherType,3,"['full-grain', 'nubuck', 'full-grain leather']"
depicts,2,"['shoe', 'shoes']"
hasLapelType,1,['no-lapel']
hasPocketType,1,['no-pockets']
hasWaistline,1,['no-waist']
hasAnimalPattern,1,['no-animal pattern']
hasCollarType,1,['non-collared']
