relationshipType,unique_value_count,unique_values
hasSilhouette,14,"['pointed-toe', 'round', 'slip-on sneakers', 'slip-on', 'flat', 'ankle boots', 'straight', 'closed', 'pointed toe', 'regular', 'closed-toe', 'low-top', 'oxford', 'loafer']"
hasFabricTreatment,12,"['suede', 'stained', 'smooth', 'plain weave', 'nubuck', 'hand-stitched', 'dyed', 'perforated', 'non-treated', 'treated fabric', 'textured', 'treated']"
hasLength,9,"['low-heeled', 'low-top', 'ankle-high', 'short', 'ankle-length', 'long', 'medium', 'low', 'slip-on']"
hasOpeningType,8,"['lace-up', 'slip-on', 'shoes', 'zipper', 'closed', 'button hole', 'open at the toe', 'closed opening']"
hasSleeveType,8,"['slip-on', 'short-sleeve', 'sleeveless', 'short', 'long-sleeve', 'no-sleeves', 'no sleeve', 'closed']"
hasLeatherType,6,"['smooth', 'full-grain', 'full-grain leather', 'nubuck', 'suede', 'full grain leather']"
depicts,5,"['shoes', 'bag', 'watch', 'shoe', 'belt']"
hasMaterialType,4,"['leather', 'fabric', 'synthetic', 'canvas']"
hasNeckline,4,"['round', 'round neckline', 'round neck', 'round-neck']"
hasPattern,4,"['solid color', 'floral', 'polka-dot', 'striped']"
hasWaistline,4,"['high', 'natural-waist', 'high-waisted', 'natural']"
hasPocketType,3,"['no-pockets', 'non-pocketed', 'pocketless']"
belongsToCategory,2,"['upperbody', 'lowerbody']"
hasCollarType,2,"['open', 'slip-on']"
hasAnimalPattern,1,['no animal patterns']
