relationshipType,unique_value_count,unique_values
hasPocketType,13,"['pockets', 'no pocket', 'side', 'side pocket', 'internal', 'inside pocket', 'zipper', 'side pockets', 'external side pocket', 'sidepockets', 'external', 'exterior pocket', 'front pocket']"
hasFabricTreatment,11,"['coated', 'plain weave', 'waterproof', 'treated', 'textured', 'solid', 'twill weave', 'smooth', 'un-treated', 'water-resistant', 'suede']"
hasMaterialType,8,"['synthetic', 'polyester', 'leather', 'canvas', 'nylon', 'fabric', 'cotton', 'synthetic material']"
hasPattern,6,"['floral', 'striped', 'solid color', 'polka-dot', 'plaid', 'houndstooth']"
hasSleeveType,6,"['short', 'long-sleeve', 'sleeveless', 'short-sleeve', 'long', 'no-sleeves']"
hasWaistline,5,"['natural', 'high-waisted', 'no waist', 'natural-waist', 'high']"
hasSilhouette,5,"['straight', 'a-line', 'rectangular', 'tapered', 'fitted']"
hasNeckline,5,"['round', 'round neck', 'straight', 'no-neckline', 'v-neck']"
hasLength,4,"['long', 'short', 'regular', 'medium']"
hasLeatherType,4,"['smooth leather', 'full-grain leather', 'smooth', 'calfskin']"
belongsToCategory,3,"['upperbody', 'lowerbody', 'wholebody']"
hasOpeningType,2,"['zipper', 'zipper opening']"
depicts,2,"['bag', 'dress']"
hasAnimalPattern,1,['snake']
