relationshipType,unique_value_count,unique_values
hasOpeningType,9,"['round opening', 'round neck', 'crew neck', 'round neckline', 'buttoned opening', 'full button closure', 'round', 'crew neck opening', 'open front']"
hasPattern,9,"['graphic print', 'textured', 'solid color', 'polka-dot', 'graphic design', 'geometric', 'striped', 'graphic pattern', 'stripe pattern']"
hasLength,7,"['short', 'short-length', 'short-sleeved', 'regular', 'short-sleeve', 'short sleeve', 'crew neck']"
hasFabricTreatment,7,"['no treatments', 'dyed', 'plain weave', 'unbleached', 'stretch', 'soft touch finish', 'soft finish']"
hasWaistline,6,"['straight', 'natural', 'fitted', 'no waist', 'natural-waist', 'high-waisted']"
hasNickname,5,"['blue t-shirt', 'tan shirt', 'graphic tee', 't-shirt', 'player 2 shirt']"
hasNeckline,4,"['crew neck', 'round neckline', 'round', 'round neck']"
hasCollarType,4,"['crew-neck', 'round collar', 'round', 'round neck']"
hasMaterialType,2,"['cotton', 'cotton blend']"
hasSilhouette,2,"['crew neck', 'crew-neck']"
depicts,2,"['t-shirt', 'shirt']"
hasLapelType,2,"['lapelless', 'non-existent']"
hasSleeveType,1,['short-sleeve']
belongsToCategory,1,['upperbody']
hasLeatherType,1,['no leather']
hasAnimalPattern,1,['tiger']
